Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Unnamed: 28
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,26/04/2024,QM24S2402528,1,"725,4",390470936,30716,196631588,92.0,84274754,1713126,5767700,651565900,5332281936,150597040,210.0,40975,684.0,62.0,17598718,114.0,18004655,22931,4818457,2669262,0.0,
Not Like Us,Not Like Us,Kendrick Lamar,04/05/2024,USUG12400910,2,"545,9",323703884,28113,174597137,92.0,116347040,3486739,674700,35223547,208339025,156380351,188.0,40778,3.0,67.0,10422430,111.0,7780028,28444,6623075,1118279,1.0,
i like the way you kiss me,I like the way you kiss me,Artemas,19/03/2024,QZJ842400387,3,"538,4",601309283,54331,211607669,92.0,122599116,2228730,3025400,275154237,3369120610,373784955,190.0,74333,536.0,136.0,36321847,172.0,5022621,5639,7208651,5285340,0.0,
Flowers,Flowers - Single,Miley Cyrus,12/01/2023,USSM12209777,4,"444,9",2031280633,269802,136569078,85.0,1096100899,10629796,7189811,1078757968,14603725994,3351188582,394.0,1474799,2182.0,264.0,24684248,210.0,190260277,203384,,11822942,0.0,
Houdini,Houdini,Eminem,31/05/2024,USUG12403398,5,"423,3",107034922,7223,151469874,88.0,77373957,3670188,16400,,,112763851,182.0,12185,1.0,82.0,17660624,105.0,4493884,7006,207179,457017,1.0,
Lovin On Me,Lovin On Me,Jack Harlow,10/11/2023,USAT22311371,6,"410,1",670665438,105892,175421034,83.0,131148091,1392593,4202367,214943489,2938686633,2867222632,138.0,522042,4654.0,86.0,17167254,152.0,138529362,50982,9438601,4517131,1.0,
Beautiful Things,Beautiful Things,Benson Boone,18/01/2024,USWB12307016,7,"407,2",900158751,73118,201585714,86.0,308723145,4120760,,29584940,534915313,4601579812,280.0,383478,429.0,168.0,48197850,154.0,65447476,57372,,9990302,0.0,
Gata Only,Gata Only,FloyyMenor,02/02/2024,QZL382406049,8,"375,8",675079153,40094,211236940,92.0,228382568,1439495,3500000,338546668,3804584163,2112581620,160.0,17221,30.0,87.0,33245595,53.0,3372428,5762,,6063523,1.0,
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,23/05/2024,USSM12404354,10,"330,6",90676573,10400,184199419,86.0,32735244,988682,325800,121574500,974656200,174706874,191.0,3823,117.0,78.0,10800098,92.0,1005626,842,3679709,666302,1.0,
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,10/05/2024,USUM72404990,11,"322,1",250080413,16219,168766158,91.0,32229063,550191,,184500,2100000,327130768,157.0,62312,71.0,60.0,12009073,114.0,23155471,21172,1594605,963413,1.0,
The Door,The Door,Teddy Swims,14/06/2024,USWB12402486,12,"320,2",111155129,2,263767,,,,,,,,,,,,,2.0,,,,,1.0,
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,17/05/2024,USUM72401991,13,"316,3",221636195,13800,197280692,92.0,40022524,1307290,195300,45889000,360017000,342107131,244.0,41344,45.0,138.0,38243636,163.0,1354692,1219,1313357,450344,0.0,
Like That,WE DON'T TRUST YOU,Future,22/03/2024,USSM12402041,14,"308,2",355186436,43025,108168634,88.0,98081493,1456177,,,,174491415,153.0,90237,3.0,55.0,3001826,109.0,26252264,18364,12038034,1963314,1.0,
bathroom floor,bathroom floor,Kids With Buns,07/10/2022,NLC242100307,15,"301,6",297185,277,24445,12.0,6736502312,16785489,3,1088,22234,,1.0,1057,,,,,,,,3288,0.0,
LALA,LALA - Single,Myke Towers,22/03/2023,USWL12300002,16,"299,9",925655569,103605,79944921,79.0,934302031,4294166,11054500,521725116,7499234052,2042145659,94.0,92231,228.0,60.0,5633435,83.0,12171026,13242,871978,2765808,1.0,
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,18/04/2024,USUG12401028,17,"297,6",395433400,12784,177932568,89.0,104673836,2484083,139300,25348800,207317000,268893710,221.0,129968,3.0,99.0,37988531,134.0,9961769,13437,377734,1210029,0.0,
greedy,greedy,Tate McRae,14/09/2023,USRC12301932,18,"293,7",1258569694,105218,198845580,87.0,141646818,1514837,2294429,419319161,5456156211,2667285437,207.0,667329,3310.0,188.0,21788568,150.0,44850379,12270,,6973652,1.0,
BLUE,HIT ME HARD AND SOFT,Billie Eilish,17/05/2024,USUM72401996,19,"292,6",91272461,6499,52287548,86.0,16038053,569377,941900,119740900,1225345800,5839168,76.0,181,1.0,24.0,5054005,33.0,283089,162,975891,257661,0.0,
As It Was,As It Was,Harry Styles,31/03/2022,USSM12200612,20,292,3301814535,407119,169783402,87.0,800899315,9101589,2755903,1633970617,15405881843,7289707052,455.0,1777811,4909.0,330.0,12907852,189.0,132624772,79909,,14967379,0.0,
Paint The Town Red,Paint The Town Red,Doja Cat,04/08/2023,USRC12300907,21,"290,5",1065399331,170890,121712197,78.0,240970670,2749668,3091732,652428798,7095564106,1063591802,158.0,400899,273.0,143.0,13718632,146.0,70291476,49111,,7559816,1.0,
Espresso,Espresso,Sabrina Carpenter,12/04/2024,USUM72403305,22,"281,5",547882871,24425,262343414,95.0,107550212,1825761,209200,169144295,1379499000,422646034,298.0,37208,236.0,167.0,41414565,149.0,10362898,10848,1551157,1373085,1.0,
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,21/05/2024,TCJPA2445163,23,279,1655575417,10,655,,,,,,,,,,,,,,,,,,1.0,
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyonce,10/02/2024,USSM12401302,24,"278,9",426700979,34044,152928632,86.0,35724356,437980,1470500,485200392,6518604175,1213175656,159.0,309497,257.0,194.0,40725482,177.0,13860535,36282,,2100708,1.0,
Future,Future,official sound studio,10/01/2024,RUA1H2415548,25,"277,5",,1,2,,,,9453333,273236305,4306269694,,,,,,,,,,,,0.0,
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,24/05/2022,BXWEH2200054,26,"268,1",7382759,3504,661084,35.0,4233958,69990,37621885,1636811753,22918660728,,1.0,,439.0,1.0,6,1.0,,,,633525,0.0,
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,09/07/2021,USSM12103949,27,"266,3",3107100349,451732,134793519,78.0,1256973582,14661425,7485966,2246991336,23712377029,4327058646,513.0,1510151,4096.0,166.0,5783693,128.0,196783487,124922,36341585,,1.0,
Baby Shark,Â Â ,Pinkfong,01/12/2015,KRE671700001,28,"265,7",720822868,60945,7530769,71.0,16322756555,48757673,7743800,281762094,6577639193,2166611,33.0,284,142.0,19.0,52179,17.0,86458847,2234137,,2064420,0.0,
we can't be friends (wait for your love),eternal sunshine,Ariana Grande,08/03/2024,USUM72317276,29,"262,8",591068364,26203,197494995,87.0,156882014,3080503,,,,578568464,194.0,200230,32.0,117.0,22062193,126.0,10106573,7689,1612479,1579980,0.0,
Numb / Encore,Papercuts,JAY-Z,12/04/2024,USWB12400678,30,256,1003215671,128,485454,,,,,,,,,,,,,,179867721,87209,,4474248,1.0,
SHEESH,BABYMONS7ER,BABYMONSTER,01/04/2024,KRA402400016,32,"237,5",124893397,3479,25936342,82.0,359896095,4907193,212500,48327004,390081328,38798822,36.0,2188,32.0,3.0,347997,26.0,130743,592,265670,191867,0.0,
Water,Water,Tyla,28/07/2023,USSM12305126,33,"234,6",670376179,98450,150471020,83.0,265180930,2566846,2114363,369150956,3932956380,3031114430,225.0,486952,1215.0,180.0,19469488,188.0,40418532,27555,6049784,6447136,0.0,
Strangers,Strangers,Kenya Grace,01/09/2023,USWB12305048,34,"233,5",750154960,139141,103879363,79.0,118208096,1495758,1031447,196985853,2231749390,1745168821,163.0,378114,856.0,113.0,16295286,112.0,20228317,5331,10938075,7477917,0.0,
Too Sweet,Unreal Unearth: Unheard,Hozier,22/03/2024,USSM12401865,35,"231,6",532012790,23557,67488850,,62123098,923733,,,,384716227,221.0,151990,64.0,42.0,658517,47.0,31032977,23005,1516649,,0.0,
What's Love Got to Do with It - 2023 Remaster,What's Love Got to Do with It (30th Anniversary Deluxe Edition),Tina Turner,26/04/2024,GBAYE2300351,36,230,479417905,7,1519,,,,,,,,,,,,,1.0,121250721,83632,,3692067,0.0,
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,12/04/2024,USUYG1541249,37,"226,4",311928522,25766,180237463,96.0,62694868,837616,,27811667,378313942,243895569,149.0,,141.0,58.0,26516005,146.0,21453034,30180,4482348,1707213,1.0,
Lose Control,Lose Control,Teddy Swims,23/06/2023,USWB12302315,38,"224,1",775135157,88239,180617454,87.0,139180960,1504385,396560,49060857,597513595,4016801205,215.0,605841,162.0,133.0,42675181,120.0,253538985,72429,5409388,10517831,0.0,
fukumean,fukumean,Gunna,15/06/2023,USAT22306575,39,"221,1",759998727,188142,80392612,80.0,94699547,1222012,1237229,311252391,3281790327,140623676,123.0,265291,4003.0,40.0,2225409,88.0,64456799,20518,33130829,3945184,1.0,
Dance Monkey,Dance Monkey,Tones And I,10/05/2019,QZES71982312,40,"214,5",3071214106,375201,64901153,71.0,3366447481,27240268,10342366,393814740,5861939942,2428166573,549.0,573733,169.0,584.0,5749770,121.0,373294159,844198,37430204,44842636,0.0,
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,17/05/2024,USUM72401994,41,"212,8",214237645,10871,202626837,92.0,11033725,251373,251200,71078500,443104700,148058631,247.0,3400,8.0,67.0,11523335,125.0,840442,2592,1369981,285858,0.0,
I'm Good (Blue),I'm Good (Blue),David Guetta,26/08/2022,UKWLG2200055,43,"209,6",1658229422,262248,239957538,83.0,466080689,4324989,728093,54258768,1051836430,1425853925,285.0,935190,2487.0,207.0,6479623,168.0,139926990,31235,8007236,10973120,1.0,
Daylight,Daylight,David Kushner,14/04/2023,QZXDB2300005,44,207,1126820069,177800,85255689,82.0,274070101,3701289,2557115,285329503,2578518632,1205538057,163.0,259255,96.0,77.0,3413707,80.0,28924685,14634,9505098,8681350,0.0,
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,15/09/2023,USJ5G2335007,45,"206,2",997702304,105927,92834002,86.0,48093111,959175,3648759,857220853,5469808282,298259422,91.0,36285,2676.0,63.0,10874749,110.0,6151267,9160,7980051,2682219,0.0,
Please Please Please,Please Please Please,Sabrina Carpenter,06/06/2024,USUM72404101,46,"205,7",59314441,2572,183043096,83.0,22374807,1026097,,188200,1200000,110446147,199.0,2359,2.0,73.0,13686074,98.0,360163,758,9883,47115,1.0,
Houdini,Houdini - Single,Dua Lipa,09/11/2023,GBAHT2301246,47,"205,1",493627071,45300,87874006,80.0,150571504,1575378,93500,35970610,386610043,3129834452,174.0,564640,405.0,146.0,28246184,127.0,25843941,3694,1991527,2389957,0.0,
Danza Kuduro - Cover,GEKIATU BEST AGE SONG - CLUB SONG,MUSIC LAB JPN,02/05/2024,TCJPA2415647,48,"204,4",1655575417,9,85,,,,,,,,,,,,,,,,,,1.0,
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,10/02/2023,GBUM72300969,49,"203,6",304929492,43923,46133083,69.0,61986821,921044,13872768,390207653,5684815935,19218089,78.0,92638,822.0,41.0,3467570,36.0,7444354,7188,,2227494,1.0,
Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,13/01/2017,USUM71607007,50,"203,5",1747093405,178114,49464650,74.0,9537135721,61799279,799338,78304409,1143297071,569548901,179.0,121234,116.0,145.0,1977014,118.0,266603596,2359900,,19622551,0.0,
euphoria,euphoria,Kendrick Lamar,30/04/2024,USUG12402839,51,"202,1",168434320,17168,62516401,86.0,53604746,1846535,,,,174375427,65.0,6408,77.0,20.0,428378,31.0,3156727,4843,4304870,654482,1.0,
Panda Basi,Panda Basi - EP,Mvua,10/02/2023,GX3Q92333626,52,"200,3",104271,249,8585,25.0,2457026781,,190,36666,393580,,,12,,,,,,,,1881,0.0,
Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,25/08/2022,NGA3B2214021,53,198,1391688322,163876,130963116,77.0,902742581,8099187,599,48035,2857920,750030685,316.0,1107265,,112.0,11937930,146.0,52073859,41487,5820026,3521951,0.0,
Shape of You,Shape of You,Ed Sheeran,06/01/2017,GBAHS1600463,54,"195,1",3909458734,316378,148037882,80.0,8013997219,45770887,2270315,194420058,2320856331,2294804623,465.0,402829,282.0,512.0,2710931,115.0,733565655,651557,78149375,1146246,0.0,
Mitu,Mitu - Single,Maian,19/01/2023,EEUM72300001,55,"194,3",55346,42,16861,13.0,2432265978,8162101,,,,,,53,,,,,,,,200,0.0,
Blinding Lights,Blinding Lights,The Weeknd,29/11/2019,USUG11904206,56,194,4281468720,590392,165544011,83.0,833807130,10093211,2882064,337322563,3501177394,2258085924,859.0,1695240,1116.0,564.0,11701129,184.0,489299762,319634,28659471,28994660,0.0,
Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,02/12/2022,USUG12208791,57,"192,3",1337619917,228295,64806723,80.0,193982443,2023998,423714,148085419,1268862678,444033037,152.0,952186,34.0,58.0,2134791,66.0,77382416,28694,,6205060,1.0,
Dona Felicidade,Dona Felicidade,FALSO,04/06/2024,QZNJW2423715,58,190,,2,41206,,52480069,82092,,,,,,,,1.0,1657,,,,,,0.0,
Danza Kuduro - Cover,YOUGAKU MORIMORI CLUB MEDLEY,MUSIC LAB JPN,29/04/2024,TCJPA2420090,59,190,1655575417,1,3,,,,,,,,,,,,,,,,,,1.0,
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,22/09/2022,GBUM72205415,60,"189,1",1556275789,210583,95974138,74.0,254051906,3364206,2379787,683088623,7945975878,1524133775,203.0,718849,117.0,63.0,1616564,167.0,111398743,71335,10424892,10192485,0.0,
Stereo Love - Melodic,Stereo Love Deluxe (feat. Vika Jigulina),Edward Maya,05/06/2024,ROCMA2413380,61,"187,9",,2,135,9.0,,,,,,,,,,,,,420235997,885123,,,0.0,
Very Cute Melody by Marimba Tone (39813),Very Cute Melody by Marimba Tone (39813),mitsu sound,31/12/2023,RUA1H2406425,62,"186,5",1384,2,801,,222076,5430,5013500,605320683,8811416708,,,,,,,,,,,,0.0,
Supernova,Supernova,aespa,13/05/2024,KRA302400090,63,"186,1",69729033,2483,21046278,81.0,111310770,1724693,56600,61038623,393973528,32059104,40.0,709,13.0,7.0,544322,14.0,45515,100,255951,63283,0.0,
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,06/05/2022,QM6MZ2214877,64,"184,8",1811990630,173358,67603671,79.0,1516863120,8870768,4506600,549886060,6470937272,934894575,124.0,77120,327.0,44.0,14871714,63.0,111324744,39123,,3393920,1.0,
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),400 Degreez (Deluxe Edition),JUVENILE,29/03/2024,USCM52400059,65,"181,4",199929812,4,98,,,,,,,,1.0,,,,,,390345308,399793,,,1.0,
Calm Down,Calm Down,Rema,10/02/2022,NGA3B2214004,66,"180,1",584427088,182994,19203258,68.0,1141904909,8766235,6129450,856216952,18216656774,2952879912,138.0,191634,759.0,53.0,3481756,45.0,98290873,46039,14668216,22563407,0.0,
Kill Bill,SOS,SZA,08/12/2022,USRC12204584,68,"177,7",1873746537,190202,99546318,82.0,220538045,3153793,266430,152410048,1284413960,426461749,214.0,655242,5448.0,73.0,1304067,122.0,57350590,61270,16992932,4873832,0.0,
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,13/07/2023,USUM72307484,69,"177,6",891720245,114560,97542546,82.0,144741616,2761964,1443103,498822693,3998086216,1384310160,168.0,275119,68.0,108.0,10920686,111.0,39374594,19921,5418596,4476509,0.0,
Babba,Black Book ID's: Chapter 5 - EP,Guy Mac,03/03/2023,QZA742305720,70,"176,2",46567,252,21930,6.0,2038459981,6076902,,,,,2.0,29,,,,,1456,,,903,0.0,
Heat Waves,Heat Waves,Glass Animals,29/06/2020,GBUM72000433,71,175,2996181078,486278,112416489,82.0,1272898075,14947520,1416295,513334446,5518429969,4899313022,459.0,1414326,1434.0,170.0,11862378,95.0,122247640,160431,,17848778,0.0,
In the End,Papercuts,Linkin Park,12/04/2024,USWB11201322,72,"174,8",2045512421,97,488602,,,,,,,,,,,,,2.0,,,,,0.0,
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,11/01/2023,UYB282301031,73,"174,3",946941510,100130,74836321,74.0,776436101,12951756,4210895,797017650,11936401096,457987382,110.0,165670,180.0,106.0,4971379,92.0,48806666,10225,,2237762,0.0,
The Way We Move - Extended Mix,The Way We Move,PowerDress,10/03/2023,UKACT2330463,74,"173,6",7909,38,15023,4.0,1999374091,5708577,,,,,,59,,,,,,,,1412,0.0,
Old Town Road,Old Town Road,Lil Nas X,14/03/2019,USSM11901941,75,"170,3",1010494713,127393,18652312,67.0,3203314695,41487213,5757883,187301054,1981431049,939714925,63.0,49780,2195.0,64.0,397418,100.0,181784010,2022074,106880548,8856633,0.0,
un x100to,un x100to,Grupo Frontera,17/04/2023,QM6N22311285,76,"170,2",1008495696,99381,57394938,75.0,878892413,4425283,796603,127651887,1669065906,1522934425,101.0,73481,225.0,42.0,5734172,81.0,55857743,15528,,2283747,0.0,
Sprinter,Sprinter - Single,Dave,01/06/2023,GBUM72305159,78,"168,1",692512930,199828,55464762,78.0,219666692,2332307,731797,130560533,1254944697,918145630,155.0,42082,36.0,41.0,1790031,76.0,411656,3414,12405917,3093667,1.0,
CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,17/05/2024,USUM72401988,79,"167,8",169410711,11028,144854768,90.0,19402457,997411,284,,,260377114,185.0,1008,,53.0,20737850,59.0,521322,698,1680434,388625,0.0,
TQG,TQG,KAROL G,23/02/2023,USUM72222541,80,"167,8",1024381758,78554,69319589,78.0,1102289596,8953293,457111,15048444,248168852,1174053183,138.0,149584,38.0,84.0,8850320,131.0,68022934,16511,164895,3488226,1.0,
Perfect,X (Deluxe),Ed Sheeran,03/03/2017,GBAHS1700024,81,"167,5",2969999682,280165,116921604,81.0,6473698897,39632673,6642975,601244764,7647479866,1708317539,208.0,263386,129.0,343.0,1242581,102.0,617483078,595052,,,0.0,
Pepas,Pepas,Farruko,24/06/2021,USSD12100307,82,"167,3",1500499584,359502,125112486,74.0,1431591689,11553088,2866181,290811371,4067248819,782475986,258.0,240677,438.0,137.0,4015523,102.0,120046948,89582,6227,17210946,1.0,
Peekaboo,Glide - Single,Dave Angel,27/01/2023,GBLTF2300027,83,"167,2",8082,63,32758,,2055940513,4150967,,,,,1.0,13,,,,,,,,442,0.0,
Ella Baila Sola,Ella Baila Sola,Eslabon Armado,16/03/2023,USE7D2300007,84,"166,5",1215336974,129463,39814172,74.0,701880622,3831236,5416,550073,15373104,546259059,83.0,40153,227.0,24.0,4946338,61.0,84378219,53890,17115523,3435177,0.0,
Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,25/05/2023,USAT22305457,85,"166,2",860026452,74769,139913794,80.0,173044031,1640319,175536,90924917,1227837850,1205266954,7.0,759185,1100.0,82.0,4067956,,64567514,22064,1843883,3199636,0.0,
La Bebe - Remix,La Bebe (Remix),Yng Lvcas,17/03/2023,MXF152300159,86,"164,9",1032225805,94887,74469479,79.0,920878032,3118229,1031612,116003972,2416141351,1690231413,83.0,57941,177.0,42.0,3360878,48.0,55410702,27415,230579,2635577,1.0,
redrum,american dream,21 Savage,12/01/2024,USSM12309164,87,"164,8",428233003,57311,144298748,,105148629,1762297,87200,6732800,43993800,977638660,74.0,102457,56.0,48.0,4037475,60.0,16802867,11821,,2490071,1.0,
Easy On Me,Easy On Me,Adele,14/10/2021,USSM12105970,88,"163,2",1720918065,209635,93875458,73.0,1194846205,13561925,1912194,733101955,7860224413,6353555150,325.0,774277,1316.0,257.0,5323750,100.0,203324731,126594,,7569155,0.0,
All My Life (feat. J. Cole),All My Life (feat. J. Cole),Lil Durk,12/05/2023,USQX92302957,90,162,333202114,108322,41018697,68.0,203487345,2084532,928132,63253779,748253884,735908540,148.0,346411,146.0,30.0,1277729,60.0,90114807,46789,16620102,4207535,1.0,
Anti-Hero,Midnights,Taylor Swift,21/10/2022,USUG12205736,91,"161,8",1563224246,117005,97456780,80.0,203259285,3482508,1302967,376660493,3864505972,724976542,261.0,1034319,1088.0,74.0,4457357,150.0,92338994,45974,,4703179,0.0,
"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,06/07/2022,UYB282201028,92,"161,7",1692951462,209490,88591675,78.0,1132539234,8795731,1212100,196608777,2054826154,56677146,99.0,138254,37.0,58.0,5211955,65.0,18052815,5213,4099686,6836893,0.0,
Magnetic,SUPER REAL ME,ILLIT,25/03/2024,USA2P2413259,93,161,255076355,11500,90584540,86.0,202206901,2596912,,57656713,506476590,273521596,67.0,4716,137.0,9.0,423666,44.0,220481,1207,556784,659825,0.0,
Lollipop,EVERYBODY GO TO THE DISCOTEK,Darell,28/07/2023,USSD12300307,94,"158,2",275349653,37806,22826643,70.0,347506860,1553295,4349700,321239621,4767676439,2676837761,19.0,23875,96.0,37.0,3780737,29.0,5101044,5276,,1245874,1.0,
La Diabla,La Diabla - Single,Xavi,02/12/2023,USA2P2357356,95,"155,9",649404552,27544,47789063,83.0,433839212,2750086,,414833,10603563,1795939912,29.0,16287,462.0,34.0,16509806,26.0,22603598,29401,,1380069,0.0,
Boy's a Liar Pt. 2,Boy's a liar Pt. 2,PinkPantheress,03/02/2023,GBAYE2300015,96,"153,6",851085705,129047,50996176,70.0,211810152,2461166,3502547,955272568,8781020473,806434641,162.0,223173,6243.0,65.0,8655684,130.0,10207007,36847,13896129,2580691,1.0,
Snooze,SOS,SZA,09/12/2022,USRC12204591,97,"153,3",1013350808,108036,86470319,84.0,390677417,2521214,402338,97819766,887803828,560893301,154.0,559589,513.0,60.0,2707900,61.0,74611167,85113,17702595,3129609,1.0,
BELLAKEO,BELLAKEO,Peso Pluma,07/12/2023,QMFMF2388143,98,"153,1",359803580,26065,79152427,86.0,369321334,1839225,720800,74164945,874056250,4123457278,40.0,16952,69.0,63.0,18139662,51.0,20058510,7289,,1002835,1.0,
Agora Hills,Scarlet,Doja Cat,22/09/2023,USRC12301954,99,"152,8",509653100,66219,67521533,,48045203,986278,328562,88846508,544437406,1561456615,80.0,400206,14.0,78.0,9341155,39.0,23110274,19559,,4295361,1.0,
Montagem Rave Eterno,Montagem Rave Eterno,Dj Samir,02/05/2024,GXD7G2413058,101,"152,3",5157486,470,2924720,,1278618,27849,1100000,261000,3900000,,3.0,,,2.0,39366,,,,,47658,0.0,
Lil Boo Thang,Lil Boo Thang,Paul Russell,18/08/2023,USAR12300323,102,"152,1",242070373,37170,74130983,76.0,22907992,261664,2553106,312997953,3832221658,15593731,106.0,370635,5999.0,69.0,1792014,79.0,84425715,30713,670026,2219984,0.0,
MONACO,FALSO,Bad Bunny,13/10/2023,QMFME2364182,103,"150,7",478150858,73306,51842133,78.0,113379734,1312763,1700998,182319546,2111289492,90954700,78.0,35330,39.0,56.0,15784760,53.0,17823388,12664,4374049,2255465,1.0,
Laxed (Siren Beat),Laxed (Siren Beat),Jawsh 685,24/04/2020,USSM12002399,104,"150,5",61382407,7240,1708319,43.0,9977490,201210,37726462,9239474,147837262,,15.0,10152,,5.0,59317,1.0,,,,3819161,0.0,
(It Goes Like) Nanana - Edit,(It Goes Like) Nanana [Edit],Peggy Gou,15/06/2023,GBBKS2300080,105,"150,4",460156070,163449,127827271,77.0,8183226,98257,530103,65920648,1032799567,56004473,,195140,,102.0,3034022,111.0,1132923,1312,9451176,9279625,0.0,
Training Season,Training Season,Dua Lipa,15/02/2024,GBAHT2301078,106,"148,9",251153869,16811,92985554,76.0,66691067,961957,102884,34572688,431390500,2120552147,162.0,180711,57.0,127.0,33540073,116.0,10305245,3796,776717,2047771,0.0,
Type Shit,WE DON'T TRUST YOU,Future,22/03/2024,USSM12402033,107,"148,1",205206688,28064,84737651,84.0,39453253,672789,,,,232440923,99.0,3432,45.0,41.0,2943724,47.0,5897303,4527,7571301,900933,1.0,
Armageddon,Armageddon - The 1st Album,aespa,27/05/2024,KRA302400093,108,"147,4",32942304,1262,26204483,74.0,57861795,1257935,,,,29510774,37.0,290,6.0,5.0,530831,33.0,21869,48,139164,29736,0.0,
The Box,Please Excuse Me For Being Antisocial,Roddy Ricch,06/12/2019,USAT21906978,109,"146,6",1911559785,317345,87765033,78.0,441257231,4829633,4930490,561201008,4574447121,2077511,255.0,296948,181.0,138.0,555650,28.0,295741432,633414,168458097,11988760,1.0,
INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,23/07/2021,USSM12104539,110,"145,3",2014959725,354831,87942438,70.0,1003346208,16856186,1750366,915814897,9558947943,3191316960,360.0,245228,925.0,109.0,3242122,74.0,75167268,96430,,12693846,1.0,
Pedro,Pedro - Single,Jaxomy,29/03/2024,DEE862400427,111,"144,6",168145583,27654,159737263,85.0,35008949,717214,,,,39149568,107.0,4448,,158.0,16345999,54.0,39577,482,3634381,2408838,0.0,
Fast Car,Gettin' Old,Luke Combs,24/03/2023,US6XF2200436,112,"144,5",518988585,73116,58391498,80.0,107703759,768813,354036,74258021,924204888,103658014,117.0,673629,59.0,67.0,8306302,104.0,184924061,88890,728039,3108167,0.0,
Bling-Bang-Bang-Born,Bling-Bang-Bang-Born,Creepy Nuts,07/01/2024,JPU902305042,113,144,247399972,22222,13870528,80.0,389540239,4392933,,22950364,296522040,1041035733,53.0,807,,18.0,357941,17.0,537267,1928,,1069500,0.0,
Aesthetic,Aesthetic,Tollan Kim,04/03/2022,SGB502208576,114,144,5712985,2311,535908,44.0,3120073,56276,20114495,2452502310,33870791454,,4.0,22,,4.0,1397,1.0,21564,81,,249823,0.0,
Sunflower - Spider-Man: Into the Spider-Verse,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,18/10/2018,USUM71814888,116,"143,9",3358704125,392082,123917182,79.0,2763188773,19410390,2714134,178829434,1597453878,484189798,351.0,273683,,86.0,809352,99.0,546367356,906813,,1569935,0.0,
Saturn,Saturn - Single,SZA,24/02/2024,USRC12400216,117,"142,8",343090427,21104,154253718,87.0,38173339,349660,,,,196380893,120.0,158378,360.0,103.0,10995523,87.0,11441987,7496,166254,745798,0.0,
Chegou a Hora de Ir para Cama (Playback),3 Palavrinhas Vol.9 (Playback),3 Palavrinhas,04/06/2024,BXT622400190,118,"142,4",,,,,39323383,44223,,,,,,,,,,,,,,,0.0,
Believer,Believer,Imagine Dragons,31/01/2017,USUM71700626,119,"142,2",3006226762,335880,89243475,81.0,4495059988,42240881,5745117,453132709,5876458723,276194776,226.0,253782,388.0,118.0,1138425,71.0,614578695,844301,2943611,21306706,0.0,
WAIT FOR U (feat. Drake & Tems),WAIT FOR U (feat. Drake & Tems),Future,27/04/2022,USSM12203789,120,141,787155930,183850,58397185,77.0,357772653,2590835,931660,95662104,836550889,3934416606,150.0,463665,1308.0,32.0,399388,69.0,182315884,53326,48937045,3534164,1.0,
I KNOW ?,UTOPIA,Travis Scott,28/07/2023,USSM12305012,121,"139,5",532605345,128534,31725858,81.0,97958347,1237197,322900,108595670,947194801,259363238,46.0,107637,57.0,33.0,1423258,40.0,6334599,8712,12785993,1861958,1.0,
